epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,12797.2,1.58568,1.30537,1.36973,0.53059,0.43409,0.42869,0.25866,1.68369,1.51238,1.51242,0.008086,0.008086,0.008086
60,13018.8,1.58602,1.28833,1.36703,0.53053,0.4355,0.42803,0.25867,1.683,1.513,1.51185,0.008053,0.008053,0.008053
61,13197.8,1.58948,1.3036,1.38012,0.57454,0.42297,0.42701,0.26015,1.67423,1.51056,1.51342,0.00802,0.00802,0.00802
62,13426.1,1.59272,1.29117,1.37439,0.5656,0.4228,0.42922,0.26157,1.66891,1.50711,1.51292,0.007987,0.007987,0.007987
63,13632.8,1.58146,1.29794,1.37391,0.56881,0.41755,0.43163,0.26168,1.67775,1.50953,1.51456,0.007954,0.007954,0.007954
64,13931.2,1.57013,1.27314,1.36513,0.52882,0.43359,0.43518,0.26172,1.68606,1.5077,1.51981,0.007921,0.007921,0.007921
65,14301.8,1.57316,1.26687,1.3651,0.53095,0.41962,0.42862,0.25902,1.67974,1.50938,1.51646,0.007888,0.007888,0.007888
66,14493.8,1.57046,1.27931,1.36363,0.52648,0.43124,0.42916,0.25845,1.67795,1.50547,1.51456,0.007855,0.007855,0.007855
67,14653.5,1.56786,1.25878,1.36234,0.5597,0.41579,0.43165,0.25998,1.67575,1.50414,1.51576,0.007822,0.007822,0.007822
68,14823.7,1.57704,1.26489,1.36835,0.56472,0.42048,0.43291,0.26181,1.67107,1.49891,1.51716,0.007789,0.007789,0.007789
69,15002.7,1.56777,1.25322,1.35599,0.58429,0.42791,0.43779,0.26569,1.67346,1.49565,1.51752,0.007756,0.007756,0.007756
70,15161.6,1.56027,1.2567,1.36091,0.56985,0.42792,0.44117,0.2674,1.68189,1.49613,1.52001,0.007723,0.007723,0.007723
71,15524.7,1.56688,1.24085,1.3476,0.60354,0.43095,0.43994,0.26749,1.67831,1.49403,1.51788,0.00769,0.00769,0.00769
72,15675.8,1.56131,1.2393,1.36003,0.60068,0.43265,0.44295,0.2689,1.67611,1.49143,1.51709,0.007657,0.007657,0.007657
73,15827.7,1.55379,1.22685,1.3508,0.54856,0.4449,0.44444,0.26963,1.68003,1.49091,1.51923,0.007624,0.007624,0.007624
74,15991.5,1.55457,1.23324,1.35073,0.53238,0.45715,0.44603,0.2701,1.67819,1.49129,1.51769,0.007591,0.007591,0.007591
75,16149,1.55419,1.23252,1.35304,0.46429,0.47038,0.44914,0.27274,1.6782,1.48885,1.51827,0.007558,0.007558,0.007558
76,16434,1.55319,1.22683,1.3526,0.49761,0.45756,0.44768,0.27098,1.67268,1.48819,1.51751,0.007525,0.007525,0.007525
77,16722.6,1.54852,1.21888,1.34203,0.48283,0.45872,0.44954,0.27109,1.67384,1.48897,1.5181,0.007492,0.007492,0.007492
78,16879.9,1.55295,1.22214,1.34529,0.48837,0.46721,0.45103,0.27267,1.68035,1.49046,1.52139,0.007459,0.007459,0.007459
79,17223.3,1.54288,1.2138,1.35201,0.49584,0.46634,0.45254,0.2737,1.68,1.49004,1.52149,0.007426,0.007426,0.007426
80,17401,1.54307,1.20071,1.34013,0.55239,0.45598,0.45336,0.2744,1.67736,1.49061,1.52041,0.007393,0.007393,0.007393
81,17616.8,1.54027,1.20959,1.34375,0.55277,0.45571,0.45523,0.27466,1.67687,1.48772,1.52076,0.00736,0.00736,0.00736
82,17776.6,1.53469,1.20016,1.34263,0.55757,0.45628,0.45368,0.27319,1.67609,1.48569,1.52097,0.007327,0.007327,0.007327
83,18197.5,1.52928,1.19989,1.34029,0.55358,0.46178,0.4537,0.27315,1.67718,1.48575,1.52201,0.007294,0.007294,0.007294
84,19351.8,1.53363,1.19121,1.33615,0.57252,0.45536,0.45385,0.27515,1.6761,1.48462,1.52137,0.007261,0.007261,0.007261
85,19660.4,1.52533,1.18142,1.33183,0.57509,0.45316,0.45572,0.27477,1.67771,1.48459,1.5215,0.007228,0.007228,0.007228
86,19821.8,1.52354,1.17382,1.32979,0.57243,0.45425,0.45753,0.27683,1.6797,1.48299,1.52244,0.007195,0.007195,0.007195
