epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6451.15,1.73223,1.60556,1.45235,0.52565,0.41535,0.41547,0.24018,1.72313,1.66418,1.51568,0.007756,0.007756,0.007756
70,6542.87,1.72989,1.60159,1.45562,0.53556,0.41314,0.41887,0.24252,1.71687,1.66359,1.51381,0.007723,0.007723,0.007723
71,6634.53,1.73208,1.59847,1.44966,0.54258,0.41115,0.42106,0.24427,1.71593,1.66245,1.51331,0.00769,0.00769,0.00769
72,6726,1.73264,1.60917,1.45713,0.5343,0.412,0.41994,0.24382,1.71543,1.65992,1.51264,0.007657,0.007657,0.007657
73,6818.02,1.72626,1.58738,1.44387,0.48613,0.42356,0.41866,0.24317,1.7131,1.65838,1.51145,0.007624,0.007624,0.007624
74,6909.6,1.72706,1.59627,1.45327,0.49261,0.43384,0.42107,0.24511,1.71318,1.6576,1.51039,0.007591,0.007591,0.007591
75,7001.33,1.73428,1.59919,1.45017,0.53564,0.41508,0.42052,0.24486,1.7085,1.65623,1.5086,0.007558,0.007558,0.007558
76,7093.13,1.72723,1.59317,1.44936,0.52846,0.41444,0.41999,0.24514,1.70864,1.6559,1.50805,0.007525,0.007525,0.007525
77,7184.51,1.71601,1.58696,1.44671,0.5224,0.42276,0.41926,0.24446,1.71008,1.65501,1.50878,0.007492,0.007492,0.007492
78,7276.36,1.71598,1.56947,1.44418,0.52091,0.4259,0.41977,0.24438,1.71127,1.65349,1.50953,0.007459,0.007459,0.007459
79,7368.17,1.71766,1.56498,1.4393,0.51723,0.42589,0.42145,0.24567,1.71301,1.65304,1.51019,0.007426,0.007426,0.007426
80,7459.79,1.72052,1.56078,1.43975,0.51966,0.42274,0.42083,0.24625,1.71389,1.65173,1.51062,0.007393,0.007393,0.007393
81,7551.71,1.71939,1.57193,1.43796,0.49575,0.42329,0.4209,0.2472,1.71628,1.64981,1.51163,0.00736,0.00736,0.00736
82,7643.32,1.70998,1.56021,1.44574,0.50461,0.42314,0.42303,0.24789,1.71846,1.6508,1.51268,0.007327,0.007327,0.007327
83,7735.31,1.72088,1.56486,1.43695,0.49752,0.42735,0.42472,0.2486,1.71868,1.64964,1.51305,0.007294,0.007294,0.007294
84,7826.95,1.70902,1.56669,1.44239,0.52783,0.42093,0.42526,0.24953,1.71865,1.64826,1.51322,0.007261,0.007261,0.007261
85,7918.61,1.71417,1.56424,1.44364,0.505,0.42234,0.4245,0.24956,1.71928,1.6479,1.5136,0.007228,0.007228,0.007228
86,8010.19,1.71142,1.56572,1.43648,0.51107,0.42021,0.42566,0.24959,1.71853,1.64705,1.51293,0.007195,0.007195,0.007195
87,8101.68,1.71216,1.55981,1.44365,0.5081,0.42676,0.42582,0.25023,1.71739,1.64484,1.51199,0.007162,0.007162,0.007162
88,8193.85,1.71024,1.54576,1.43303,0.51044,0.42932,0.42694,0.2502,1.71647,1.64395,1.51153,0.007129,0.007129,0.007129
89,8285.37,1.69818,1.53888,1.43527,0.50447,0.43546,0.42729,0.25065,1.71698,1.64249,1.51192,0.007096,0.007096,0.007096
90,8377.06,1.71299,1.5551,1.43498,0.50898,0.43282,0.4272,0.25087,1.71599,1.64174,1.51149,0.007063,0.007063,0.007063
91,8468.96,1.70791,1.54622,1.43279,0.50984,0.43219,0.42773,0.25099,1.71576,1.64015,1.51108,0.00703,0.00703,0.00703
92,8560.78,1.70099,1.52173,1.42851,0.51158,0.43262,0.42697,0.25068,1.71473,1.63963,1.51079,0.006997,0.006997,0.006997
93,8652.22,1.70163,1.54983,1.43392,0.51557,0.43042,0.42768,0.25073,1.71448,1.63887,1.51036,0.006964,0.006964,0.006964
94,8744,1.70037,1.53653,1.42695,0.51415,0.43276,0.42866,0.25142,1.71531,1.63825,1.51043,0.006931,0.006931,0.006931
95,8835.64,1.69655,1.52463,1.42124,0.51966,0.43106,0.42931,0.25165,1.71657,1.63769,1.5105,0.006898,0.006898,0.006898
96,8927.39,1.70256,1.53225,1.43058,0.53254,0.42908,0.42935,0.25167,1.71742,1.63703,1.51096,0.006865,0.006865,0.006865
97,9019.18,1.69737,1.53085,1.42869,0.53234,0.42981,0.4297,0.25201,1.7171,1.63648,1.51085,0.006832,0.006832,0.006832
98,9110.56,1.69067,1.523,1.43213,0.53442,0.4282,0.43023,0.25272,1.71767,1.63646,1.51084,0.006799,0.006799,0.006799
99,9202.22,1.70182,1.51991,1.42355,0.53114,0.43072,0.42995,0.25262,1.71707,1.63576,1.51065,0.006766,0.006766,0.006766
100,9294.07,1.69671,1.51652,1.42112,0.53242,0.43266,0.43028,0.25257,1.71655,1.63542,1.51029,0.006733,0.006733,0.006733
101,9385.49,1.69139,1.5125,1.42475,0.53381,0.43396,0.43057,0.2528,1.71661,1.63401,1.51,0.0067,0.0067,0.0067
102,9477.9,1.68932,1.50962,1.41732,0.52995,0.43458,0.43093,0.25357,1.71685,1.63289,1.50999,0.006667,0.006667,0.006667
103,9569.15,1.69602,1.53417,1.43203,0.5286,0.4364,0.4313,0.254,1.71616,1.63221,1.50966,0.006634,0.006634,0.006634
104,9660.37,1.69573,1.52441,1.43563,0.52719,0.43878,0.43157,0.25425,1.71657,1.63196,1.50989,0.006601,0.006601,0.006601
105,9751.97,1.68967,1.51629,1.42954,0.52794,0.43874,0.43202,0.25436,1.7171,1.6307,1.51004,0.006568,0.006568,0.006568
106,9843.73,1.68983,1.49068,1.41947,0.52703,0.43776,0.43264,0.25505,1.71707,1.62993,1.50991,0.006535,0.006535,0.006535
107,9935.83,1.69458,1.511,1.42242,0.52838,0.43855,0.43273,0.25486,1.71718,1.62892,1.51006,0.006502,0.006502,0.006502
108,10027.7,1.68666,1.49619,1.41455,0.52705,0.43996,0.43385,0.25569,1.71688,1.6281,1.50999,0.006469,0.006469,0.006469
109,10119.6,1.68554,1.4985,1.41762,0.52609,0.44022,0.43399,0.25576,1.71595,1.62711,1.50952,0.006436,0.006436,0.006436
110,10211.4,1.69373,1.49567,1.41616,0.52868,0.44016,0.43443,0.25593,1.7164,1.62648,1.50972,0.006403,0.006403,0.006403
111,10304.1,1.68641,1.4911,1.41299,0.52708,0.44221,0.43558,0.25682,1.71654,1.62628,1.5095,0.00637,0.00637,0.00637
112,10396,1.68163,1.48941,1.4165,0.52718,0.44514,0.43614,0.25715,1.71729,1.62569,1.5097,0.006337,0.006337,0.006337
113,10487.9,1.68062,1.47879,1.41337,0.52758,0.44571,0.43671,0.2575,1.71624,1.6245,1.50906,0.006304,0.006304,0.006304
114,10580.1,1.68188,1.48525,1.41756,0.5288,0.44637,0.43662,0.25769,1.71534,1.62301,1.50872,0.006271,0.006271,0.006271
115,10671.7,1.67647,1.47779,1.41587,0.52739,0.44866,0.43682,0.25748,1.71522,1.62281,1.50872,0.006238,0.006238,0.006238
116,10763.8,1.6835,1.48195,1.41291,0.52741,0.45023,0.43663,0.25778,1.71496,1.62244,1.50855,0.006205,0.006205,0.006205
117,10855.6,1.67669,1.48121,1.41722,0.53172,0.44981,0.43685,0.25774,1.71476,1.62183,1.5084,0.006172,0.006172,0.006172
118,10947.2,1.67207,1.47269,1.41033,0.5338,0.448,0.43699,0.258,1.71462,1.62123,1.50822,0.006139,0.006139,0.006139
119,11039.1,1.68351,1.48438,1.41528,0.53719,0.44731,0.43714,0.25852,1.7144,1.6206,1.50829,0.006106,0.006106,0.006106
120,11130.7,1.67802,1.4833,1.40838,0.53793,0.44784,0.4376,0.2584,1.7145,1.61983,1.50822,0.006073,0.006073,0.006073
121,11222.4,1.67559,1.47425,1.41364,0.53867,0.44726,0.43764,0.25841,1.71386,1.619,1.50787,0.00604,0.00604,0.00604
122,11313.8,1.67242,1.47834,1.41476,0.5363,0.44817,0.43775,0.25854,1.71385,1.61859,1.50777,0.006007,0.006007,0.006007
123,11405.2,1.67781,1.48181,1.41342,0.53861,0.44991,0.43851,0.25869,1.71294,1.61831,1.50748,0.005974,0.005974,0.005974
124,11497.2,1.67825,1.46585,1.40501,0.53667,0.45194,0.43984,0.25857,1.71289,1.61741,1.50718,0.005941,0.005941,0.005941
125,11588.7,1.67881,1.46848,1.4139,0.53687,0.45238,0.4409,0.25887,1.71238,1.6169,1.50697,0.005908,0.005908,0.005908
126,11680.4,1.6751,1.45388,1.4078,0.542,0.45124,0.44079,0.25915,1.71181,1.61564,1.50672,0.005875,0.005875,0.005875
127,11772.1,1.67117,1.45753,1.40772,0.54142,0.45203,0.44136,0.25945,1.71152,1.61515,1.50651,0.005842,0.005842,0.005842
128,11862.5,1.6713,1.45268,1.40614,0.53964,0.45176,0.44129,0.25963,1.71108,1.61464,1.50603,0.005809,0.005809,0.005809
129,11954,1.66679,1.4497,1.40678,0.54951,0.45103,0.44223,0.26006,1.71047,1.61414,1.50562,0.005776,0.005776,0.005776
130,12045.8,1.66478,1.45352,1.40103,0.54301,0.4516,0.44215,0.26032,1.71046,1.6136,1.50546,0.005743,0.005743,0.005743
131,12137.7,1.6653,1.45043,1.40351,0.54757,0.44733,0.4418,0.26012,1.70977,1.61231,1.50521,0.00571,0.00571,0.00571
132,12229.4,1.66796,1.46649,1.40903,0.55114,0.44627,0.44235,0.26044,1.70969,1.61178,1.50493,0.005677,0.005677,0.005677
133,12321.1,1.67577,1.45041,1.40551,0.55034,0.44642,0.44246,0.26053,1.70933,1.61095,1.50481,0.005644,0.005644,0.005644
134,12412.5,1.66182,1.44302,1.40326,0.55153,0.44545,0.44286,0.26055,1.70926,1.6103,1.50455,0.005611,0.005611,0.005611
135,12504.2,1.66065,1.43707,1.39869,0.55399,0.44456,0.44356,0.26123,1.70929,1.60935,1.50455,0.005578,0.005578,0.005578
136,12595.7,1.6616,1.44379,1.40252,0.55326,0.44554,0.44479,0.2617,1.70856,1.60828,1.50405,0.005545,0.005545,0.005545
137,12687.4,1.66138,1.42643,1.39311,0.55318,0.44548,0.44513,0.26174,1.70902,1.60819,1.50407,0.005512,0.005512,0.005512
138,12779.1,1.65861,1.43062,1.39614,0.56831,0.44757,0.44566,0.26212,1.70998,1.6076,1.50417,0.005479,0.005479,0.005479
139,12870.8,1.66917,1.44084,1.40463,0.5713,0.44824,0.44592,0.26211,1.71139,1.60692,1.5045,0.005446,0.005446,0.005446
140,12962.5,1.67026,1.44224,1.40181,0.57157,0.44764,0.44579,0.2622,1.71245,1.60608,1.50482,0.005413,0.005413,0.005413
141,13054,1.66035,1.43828,1.40263,0.57303,0.44741,0.44606,0.26244,1.71297,1.60579,1.50484,0.00538,0.00538,0.00538
142,13145.3,1.65953,1.43373,1.40216,0.57196,0.44686,0.44572,0.2634,1.71288,1.60538,1.50458,0.005347,0.005347,0.005347
143,13236.5,1.66028,1.43104,1.39657,0.57387,0.44718,0.44632,0.26333,1.71258,1.60477,1.50422,0.005314,0.005314,0.005314
144,13328.1,1.66178,1.42061,1.39866,0.57413,0.44754,0.44643,0.26375,1.71267,1.60399,1.50446,0.005281,0.005281,0.005281
145,13419.6,1.65504,1.42265,1.40056,0.57439,0.44805,0.44696,0.26416,1.71305,1.60326,1.50427,0.005248,0.005248,0.005248
146,13511.1,1.65542,1.4291,1.39582,0.57367,0.44787,0.44712,0.26407,1.71399,1.60269,1.50443,0.005215,0.005215,0.005215
147,13602.5,1.65646,1.42292,1.39828,0.57581,0.44625,0.44733,0.26424,1.71416,1.60181,1.50447,0.005182,0.005182,0.005182
148,13694.1,1.64958,1.41403,1.39329,0.57642,0.4463,0.44806,0.26464,1.71441,1.60137,1.50452,0.005149,0.005149,0.005149
149,13788.8,1.6516,1.42951,1.40203,0.57413,0.44773,0.44803,0.26446,1.7141,1.60033,1.50426,0.005116,0.005116,0.005116
150,13882.2,1.65802,1.43292,1.397,0.57057,0.45116,0.44841,0.26456,1.71434,1.59957,1.50407,0.005083,0.005083,0.005083
